R,0.01359415054321289,LR,0.34670352935791016,0.061614036560058594
R,0.02001667022705078,LR,0.3412797451019287,0.05577445030212402
R,0.020218372344970703,LR,0.34128475189208984,0.05618476867675781
R,0.015216827392578125,LR,0.34728574752807617,0.06218576431274414
R,0.015216827392578125,LR,0.34628844261169434,0.06218576431274414
R,0.016251325607299805,LR,0.34827685356140137,0.06157183647155762
R,0.016251325607299805,LR,0.34628844261169434,0.061192989349365234
L,0.0711822509765625,RL,467.36352348327637,467.35691142082214
L,0.07079172134399414,RL,467.36933755874634,467.35829758644104
L,0.07201313972473145,RL,467.3626925945282,467.349098443985
L,0.07095670700073242,RL,467.36417627334595,467.34792494773865
L,0.07118940353393555,RL,467.36394357681274,467.34872674942017
L,0.0703425407409668,RL,467.36879086494446,467.3577494621277
L,0.07095670700073242,RL,467.36417627334595,467.34792494773865
L,0.07559037208557129,RL,467.3635721206665,467.3483552932739
L,0.07018470764160156,RL,467.36894726753235,467.3489305973053

L,0.07018470764160156,RL,467.36352348327637,467.35691142082214
L,0.07101559638977051,RL,467.3626925945282,467.349098443985
L,0.07492184638977051,RL,467.3691990375519,467.3489806652069
R,0.10626482963562012,LR,0.1668250560760498,0.0958094596862793
R,0.10726308822631836,LR,0.16782236099243164,0.0958092212677002
R,0.10726308822631836,LR,0.1669914722442627,0.09680676460266113
R,0.10505199432373047,LR,0.17019963264465332,0.09901738166809082
R,0.10642623901367188,LR,0.16797351837158203,0.09701681137084961
R,0.10642623901367188,LR,0.16797351837158203,0.09701681137084961
R,0.10682487487792969,LR,0.16658973693847656,0.09624719619750977
R,0.10682487487792969,LR,0.1670389175415039,0.09624719619750977
R,0.10582780838012695,LR,0.1684277057647705,0.09723830223083496
R,0.10605359077453613,LR,0.16820096969604492,0.09801626205444336
R,0.10782217979431152,LR,0.16879916191101074,0.09320878982543945
R,0.10626626014709473,LR,0.16881918907165527,0.09780359268188477
R,0.11004233360290527,LR,0.16820096969604492,0.09801626205444336
L,0.11791467666625977,RL,0.11983895301818848,0.013014078140258789
L,0.12193870544433594,RL,0.11681199073791504,0.009987115859985352
L,0.12688708305358887,RL,0.11429643630981445,0.008030176162719727
L,0.12688708305358887,RL,0.11529326438903809,0.008030176162719727
L,0.12661409378051758,RL,0.11656498908996582,0.009301900863647461
